Cell line ID,C683665,C683667,C684052,C684055,C684057,C684059,C684062,C684072,C684681,C687448,C687452,C687455,C687457,C687459,C687505,C687506,C687514,C687561,C687562,C687563,C687568,C687586,C687588,C687590,C687592,C687596,C687600,C687777,C687780,C687787,C687794,C687798,C687799,C687800,C687802,C687804,C687807,C687812,C687815,C687816,C687819,C687820,C687821,C687829,C687980,C687983,C687985,C687995,C687997,C688001,C688006,C688007,C688010,C688011,C688013,C688014,C688015,C688018,C688021,C688022,C688023,C688025,C688026,C688027,C688031,C688058,C688086,C688087,C688121,C713869,C713878,C713880,C713885,C713899,C717431,C722045,C722046,C722058,C722066,C724812,C724825,C724828,C724831,C724834,C724838,C724839,C724855,C724859,C724863,C724866,C724868,C724869,C724870,C724872,C724873,C724874,C724878,C724879,C735784,C749709,C749710,C749711,C749712,C749713,C749714,C749715,C749716,C749717,C753531,C753532,C753533,C753534,C753535,C753538,C753539,C753540,C753541,C753545,C753546,C753547,C753548,C753549,C753551,C753552,C753554,C753555,C753556,C753558,C753559,C753561,C753562,C753563,C753564,C753565,C753566,C753569,C753570,C753572,C753573,C753574,C753575,C753576,C753577,C753578,C753579,C753581,C753582,C753583,C753584,C753585,C753586,C753588,C753589,C753592,C753594,C753595,C753596,C753597,C753599,C753600,C753604,C753605,C753607,C753608,C753610,C753612,C753614,C753615,C753616,C753618,C753620,C753621,C753622,C753623,C753624,C905933,C905934,C905935,C905936,C905937,C905938,C905939,C905940,C905941,C905942,C905943,C905944,C905945,C905946,C905947,C905948,C905949,C905950,C905951,C905952,C905954,C905955,C905956,C905957,C905958,C905959,C905960,C905961,C905962,C905963,C905964,C905965,C905967,C905968,C905969,C905970,C905971,C905972,C905973,C905974,C905975,C905976,C905977,C905978,C905979,C905980,C905981,C905982,C905983,C905984,C905985,C905986,C905989,C905990,C905991,C906693,C906696,C906746,C906763,C906765,C906790,C906791,C906792,C906793,C906794,C906795,C906797,C906798,C906800,C906801,C906804,C906805,C906807,C906808,C906812,C906813,C906814,C906817,C906818,C906820,C906821,C906823,C906824,C906825,C906826,C906827,C906828,C906830,C906831,C906832,C906833,C906834,C906835,C906836,C906837,C906838,C906839,C906841,C906842,C906843,C906844,C906846,C906847,C906848,C906849,C906851,C906852,C906853,C906854,C906855,C906856,C906861,C906862,C906863,C906864,C906865,C906868,C906869,C906870,C906871,C906872,C906873,C906875,C906877,C906999,C907000,C907041,C907042,C907043,C907044,C907045,C907046,C907047,C907048,C907050,C907051,C907053,C907055,C907056,C907057,C907058,C907059,C907060,C907061,C907062,C907063,C907064,C907065,C907066,C907067,C907068,C907069,C907071,C907072,C907073,C907169,C907170,C907171,C907172,C907173,C907175,C907176,C907268,C907269,C907270,C907271,C907272,C907273,C907274,C907275,C907276,C907277,C907278,C907279,C907280,C907281,C907282,C907285,C907286,C907287,C907289,C907290,C907291,C907295,C907298,C907299,C907300,C907311,C907312,C907313,C907314,C907317,C907318,C907319,C907320,C907321,C907322,C907323,C907783,C907786,C907787,C907788,C907789,C907790,C907791,C907792,C907794,C907795,C907796,C907799,C908118,C908120,C908121,C908122,C908123,C908124,C908125,C908126,C908127,C908128,C908129,C908130,C908131,C908132,C908134,C908135,C908136,C908138,C908139,C908141,C908142,C908143,C908144,C908145,C908146,C908147,C908148,C908149,C908150,C908151,C908152,C908156,C908158,C908159,C908440,C908442,C908443,C908444,C908445,C908446,C908447,C908448,C908449,C908450,C908451,C908452,C908454,C908455,C908457,C908458,C908459,C908460,C908461,C908462,C908463,C908465,C908467,C908468,C908469,C908470,C908471,C908472,C908473,C908474,C908475,C908476,C908480,C908481,C908482,C908483,C909194,C909248,C909249,C909250,C909251,C909252,C909253,C909255,C909256,C909257,C909260,C909262,C909263,C909264,C909696,C909697,C909698,C909699,C909700,C909701,C909702,C909703,C909704,C909706,C909707,C909708,C909709,C909711,C909712,C909713,C909715,C909716,C909717,C909718,C909719,C909720,C909721,C909722,C909723,C909724,C909725,C909726,C909727,C909728,C909729,C909731,C909732,C909735,C909736,C909737,C909738,C909739,C909740,C909742,C909743,C909744,C909745,C909746,C909747,C909748,C909749,C909750,C909751,C909753,C909754,C909755,C909756,C909757,C909758,C909759,C909761,C909762,C909769,C909770,C909771,C909773,C909774,C909776,C909777,C909778,C909779,C909780,C909781,C909784,C909785,C909904,C909905,C909907,C909974,C909975,C909976,C909977,C910079,C910209,C910399,C910401,C910544,C910545,C910546,C910548,C910549,C910554,C910566,C910567,C910568,C910569,C910687,C910688,C910689,C910691,C910692,C910694,C910695,C910697,C910698,C910700,C910701,C910702,C910703,C910704,C910705,C910706,C910710,C910779,C910780,C910781,C910784,C910849,C910850,C910851,C910852,C910853,C910861,C910899,C910900,C910903,C910904,C910905,C910906,C910907,C910910,C910911,C910915,C910916,C910918,C910919,C910920,C910921,C910922,C910924,C910925,C910926,C910927,C910930,C910931,C910932,C910933,C910934,C910935,C910936,C910937,C910941,C910942,C910943,C910944,C910947,C910948,C910951,C910952,C911905,C917486,C924100,C924102,C924104,C924105,C924106,C924107,C924108,C924110,C924111,C924151,C924186,C924187,C924188,C924189,C924238,C924239,C924240,C924241,C924244,C924247,C924248,C924250,C925338,C925339,C925340,C925341,C925343,C925345,C925346,C925347,C925348,C930082,C930083,C930297,C930298,C930299,C930301,C946353,C946354,C946355,C946356,C946357,C946358,C946359,C946360,C946361,C946363,C946367,C946368,C946369,C946370,C946372,C946373,C946377,C946382,C949088,C949090,C949092,C949093,C949094,C949153,C949154,C949155,C949156,C949157,C949158,C949160,C949161,C949162,C949163,C949164,C949165,C949166,C949167,C949168,C949170,C949171,C949172,C949173,C949174,C949175,C949176,C949177,C949178,C949179,C971773,C971774,C971777,C998184,C998189,C1240121,C1240122,C1240123,C1240124,C1240125,C1240127,C1240128,C1240129,C1240130,C1240131,C1240132,C1240134,C1240135,C1240136,C1240137,C1240138,C1240139,C1240140,C1240141,C1240142,C1240143,C1240144,C1240145,C1240146,C1240147,C1240149,C1240150,C1240151,C1240153,C1240154,C1240155,C1240157,C1240158,C1240159,C1240160,C1240161,C1240162,C1240166,C1240167,C1240168,C1240169,C1240170,C1240172,C1240173,C1240174,C1240178,C1240179,C1240181,C1240182,C1240183,C1240184,C1240185,C1240186,C1240187,C1240189,C1240190,C1240191,C1240192,C1240193,C1240196,C1240197,C1240198,C1240199,C1240200,C1240201,C1240202,C1240204,C1240205,C1240206,C1240207,C1240208,C1240209,C1240210,C1240212,C1240215,C1240216,C1240217,C1240218,C1240219,C1240220,C1240221,C1240222,C1240223,C1240224,C1240226,C1247871,C1247873,C1287381,C1287706,C1290455,C1290722,C1290724,C1290725,C1290730,C1290765,C1290767,C1290768,C1290769,C1290771,C1290795,C1290797,C1290798,C1290806,C1290807,C1290808,C1290809,C1290810,C1290812,C1290813,C1290814,C1290905,C1290906,C1290907,C1290908,C1290922,C1295740,C1295741,C1297438,C1297439,C1297446,C1297447,C1297449,C1298134,C1298136,C1298141,C1298144,C1298145,C1298146,C1298151,C1298156,C1298157,C1298160,C1298167,C1298168,C1298169,C1298215,C1298216,C1298218,C1298219,C1298222,C1298223,C1298226,C1298347,C1298348,C1298349,C1298350,C1298351,C1298352,C1298353,C1298356,C1298357,C1298358,C1298359,C1298362,C1298365,C1298475,C1298476,C1298526,C1298529,C1298531,C1298533,C1298534,C1298537,C1298538,C1298539,C1299050,C1299052,C1299059,C1299061,C1299062,C1299064,C1299069,C1299070,C1299075,C1299078,C1299080,C1299081,C1303896,C1303897,C1303900,C1303901,C1303911,C1303912,C1322212,C1322213,C1322218,C1322224,C1323913,C1327765,C1327766,C1327768,C1327769,C1327771,C1327773,C1327774,C1327775,C1330931,C1330933,C1330935,C1330941,C1330942,C1330947,C1330948,C1330950,C1330960,C1330964,C1330972,C1330973,C1330981,C1330982,C1330983,C1330984,C1330985,C1330987,C1330991,C1330993,C1330994,C1330995,C1331025,C1331032,C1331033,C1331034,C1331035,C1331036,C1331037,C1331038,C1331039,C1331040,C1331045,C1331048,C1331049,C1331050,C1479987,C1479988,C1479995,C1480358,C1480359,C1480360,C1480361,C1480362,C1480364,C1480367,C1480371,C1480372,C1480374,C1503361,C1503362,C1503363,C1503364,C1503365,C1503366,C1503367,C1503368,C1503369,C1503370,C1503371,C1509073,C1509074,C1524414,C1524415,C1524416,C1524417,C1524418,C1524419,C1659817,C1659818,C1659819,C1659823,C1659928,C1660034,C1660035,C1660036,C1674021,C1789883
Cancer Type,MM,MB,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,LUAD,SKCM,BLCA,BLCA,BLCA,BLCA,CESC,CESC,CESC,GBM,GBM,GBM,GBM,GBM,GBM,GBM,GBM,NOT CLASSIFIED,NOT CLASSIFIED,LUAD,NOT CLASSIFIED,LUSC,LUAD,LUAD,LUAD,LUAD,LUAD,NOT CLASSIFIED,LUAD,LUAD,LUSC,LUAD,LUAD,LUAD,LUAD,NOT CLASSIFIED,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,SCLC,MESO,NB,NB,NOT CLASSIFIED,LUAD,SCLC,SCLC,SCLC,SCLC,NB,LUAD,LUAD,LUAD,LUAD,BLCA,MM,NB,NOT CLASSIFIED,LUAD,BLCA,CESC,NOT CLASSIFIED,LUAD,NOT CLASSIFIED,LUAD,LUAD,PAAD,PAAD,SCLC,LUAD,LUAD,LUAD,LUSC,ESCA,BRCA,BRCA,BRCA,BRCA,BRCA,BRCA,BRCA,BRCA,BRCA,HNSC,HNSC,KIRC,NOT CLASSIFIED,HNSC,HNSC,NOT CLASSIFIED,NOT CLASSIFIED,HNSC,SKCM,SKCM,SCLC,LAML,GBM,SCLC,BLCA,LUSC,ESCA,LUSC,KIRC,ESCA,HNSC,HNSC,MM,SCLC,SCLC,BLCA,LUSC,HNSC,PAAD,ESCA,ESCA,ESCA,ESCA,KIRC,KIRC,SKCM,SKCM,SCLC,HNSC,BLCA,KIRC,NOT CLASSIFIED,SCLC,SCLC,LUAD,SCLC,PAAD,SKCM,SCLC,SCLC,LUAD,NOT CLASSIFIED,SCLC,NOT CLASSIFIED,LUAD,SCLC,MM,ESCA,MM,NB,NB,NB,ESCA,ESCA,ESCA,PAAD,OV,PRAD,PRAD,COAD/READ,COAD/READ,LAML,COAD/READ,LCML,LUSC,LUAD,NOT CLASSIFIED,LUAD,BRCA,BRCA,KIRC,KIRC,LUAD,KIRC,BRCA,ALL,SKCM,SKCM,SKCM,BRCA,ALL,OV,BRCA,COAD/READ,COAD/READ,KIRC,MM,NOT CLASSIFIED,LUAD,OV,OV,LUAD,COAD/READ,LUAD,NOT CLASSIFIED,SKCM,SKCM,SKCM,SKCM,KIRC,KIRC,KIRC,KIRC,GBM,GBM,LGG,GBM,GBM,COAD/READ,OV,OV,PAAD,THCA,GBM,ALL,MM,STAD,LUAD,SKCM,SKCM,NOT CLASSIFIED,THCA,BLCA,BLCA,NOT CLASSIFIED,BRCA,NOT CLASSIFIED,LUAD,DLBC,SCLC,BRCA,SKCM,SKCM,ESCA,SKCM,NB,PAAD,GBM,CESC,OV,BRCA,NOT CLASSIFIED,THCA,SKCM,NOT CLASSIFIED,DLBC,MB,MB,GBM,NOT CLASSIFIED,HNSC,NOT CLASSIFIED,GBM,NOT CLASSIFIED,DLBC,CESC,BRCA,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,BRCA,NOT CLASSIFIED,NOT CLASSIFIED,CLL,LCML,NOT CLASSIFIED,NOT CLASSIFIED,BRCA,HNSC,THCA,SKCM,LGG,STAD,LAML,LGG,NB,GBM,NB,ALL,NOT CLASSIFIED,NOT CLASSIFIED,STAD,LGG,NOT CLASSIFIED,NOT CLASSIFIED,BRCA,BRCA,NOT CLASSIFIED,BRCA,NOT CLASSIFIED,UCEC,LAML,STAD,NOT CLASSIFIED,LIHC,SKCM,HNSC,NOT CLASSIFIED,HNSC,HNSC,DLBC,NOT CLASSIFIED,BLCA,BLCA,SKCM,CESC,NOT CLASSIFIED,LIHC,NOT CLASSIFIED,NOT CLASSIFIED,SKCM,NB,SKCM,SKCM,MESO,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,CLL,CLL,LGG,ALL,NOT CLASSIFIED,DLBC,LAML,STAD,ALL,LAML,LGG,LAML,MM,LGG,PAAD,PAAD,COAD/READ,COAD/READ,NOT CLASSIFIED,COAD/READ,SCLC,NOT CLASSIFIED,NOT CLASSIFIED,LAML,LCML,BLCA,GBM,NB,ESCA,ESCA,ESCA,ESCA,ESCA,NOT CLASSIFIED,NOT CLASSIFIED,LCML,LUAD,ALL,PRAD,ALL,COAD/READ,MM,COAD/READ,COAD/READ,COAD/READ,NOT CLASSIFIED,DLBC,NB,BRCA,BRCA,BRCA,BRCA,SKCM,SKCM,LCML,NOT CLASSIFIED,SKCM,UCEC,UCEC,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NB,NOT CLASSIFIED,NOT CLASSIFIED,STAD,LAML,NOT CLASSIFIED,NOT CLASSIFIED,LGG,LGG,ALL,ALL,LAML,NOT CLASSIFIED,MESO,BRCA,MESO,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NB,COAD/READ,LUSC,STAD,STAD,STAD,NB,LAML,LGG,LGG,LAML,LGG,NOT CLASSIFIED,STAD,COAD/READ,COAD/READ,NOT CLASSIFIED,LUAD,STAD,MESO,LUAD,LUAD,NOT CLASSIFIED,SCLC,SCLC,MESO,NOT CLASSIFIED,LUAD,LUAD,NOT CLASSIFIED,LUAD,LUAD,SCLC,SCLC,COAD/READ,SCLC,SCLC,MB,MM,KIRC,ALL,ALL,LAML,NOT CLASSIFIED,BRCA,OV,ALL,NOT CLASSIFIED,COAD/READ,NOT CLASSIFIED,NOT CLASSIFIED,STAD,COAD/READ,NOT CLASSIFIED,HNSC,NOT CLASSIFIED,ALL,ALL,BLCA,SKCM,NOT CLASSIFIED,HNSC,HNSC,NOT CLASSIFIED,GBM,SKCM,LAML,NOT CLASSIFIED,NOT CLASSIFIED,COAD/READ,LIHC,NOT CLASSIFIED,LUAD,NOT CLASSIFIED,SKCM,SKCM,SKCM,SKCM,SKCM,LUSC,GBM,NOT CLASSIFIED,NOT CLASSIFIED,UCEC,LIHC,LIHC,LIHC,LIHC,COAD/READ,NOT CLASSIFIED,ALL,ACC,GBM,COAD/READ,COAD/READ,COAD/READ,BLCA,LGG,COAD/READ,OV,NOT CLASSIFIED,COAD/READ,NOT CLASSIFIED,COAD/READ,NOT CLASSIFIED,NOT CLASSIFIED,COAD/READ,ALL,NOT CLASSIFIED,STAD,LAML,DLBC,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,BRCA,NOT CLASSIFIED,BLCA,KIRC,SKCM,NOT CLASSIFIED,PAAD,GBM,BRCA,KIRC,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,ESCA,NOT CLASSIFIED,LUAD,NOT CLASSIFIED,LCML,LAML,PAAD,OV,ESCA,COAD/READ,LAML,NB,THCA,COAD/READ,ALL,LAML,COAD/READ,UCEC,SCLC,GBM,NOT CLASSIFIED,NOT CLASSIFIED,KIRC,COAD/READ,HNSC,PAAD,NOT CLASSIFIED,BRCA,NOT CLASSIFIED,NOT CLASSIFIED,LCML,NOT CLASSIFIED,NB,UCEC,NOT CLASSIFIED,NOT CLASSIFIED,LIHC,NOT CLASSIFIED,BRCA,SKCM,DLBC,SCLC,LUAD,SKCM,HNSC,COAD/READ,NOT CLASSIFIED,PAAD,BRCA,HNSC,PAAD,HNSC,DLBC,DLBC,KIRC,SKCM,KIRC,STAD,NOT CLASSIFIED,BLCA,BRCA,DLBC,LUAD,SKCM,GBM,DLBC,DLBC,HNSC,SCLC,NB,NOT CLASSIFIED,GBM,ALL,LAML,BRCA,LCML,KIRC,OV,COAD/READ,PRAD,THCA,THCA,NOT CLASSIFIED,BRCA,CESC,COAD/READ,NOT CLASSIFIED,HNSC,THCA,NOT CLASSIFIED,UCEC,LGG,NB,THCA,MM,BRCA,SCLC,LUAD,NOT CLASSIFIED,NOT CLASSIFIED,STAD,BRCA,SKCM,STAD,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,PAAD,PAAD,PAAD,NOT CLASSIFIED,THCA,CESC,CESC,THCA,SKCM,ESCA,ESCA,ESCA,ESCA,NOT CLASSIFIED,ALL,BRCA,OV,NOT CLASSIFIED,NB,GBM,GBM,LGG,GBM,GBM,LGG,GBM,BRCA,DLBC,OV,SKCM,BRCA,GBM,ALL,CESC,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NOT CLASSIFIED,NOT CLASSIFIED,SKCM,ALL,COAD/READ,HNSC,HNSC,COAD/READ,COAD/READ,SKCM,UCEC,NOT CLASSIFIED,OV,SKCM,MESO,MESO,MESO,MESO,MESO,MESO,MESO,MESO,NOT CLASSIFIED,MESO,LUSC,LUSC,NOT CLASSIFIED,LUAD,LUAD,LIHC,NOT CLASSIFIED,LGG,STAD,SKCM,THCA,STAD,LIHC,LIHC,LIHC,LIHC,HNSC,HNSC,NOT CLASSIFIED,ESCA,GBM,GBM,GBM,BRCA,COAD/READ,UCEC,THCA,CESC,NB,SCLC,LUSC,NOT CLASSIFIED,LUAD,SCLC,LUAD,SCLC,LUAD,NOT CLASSIFIED,SCLC,SCLC,HNSC,OV,OV,OV,OV,PAAD,LUAD,HNSC,HNSC,HNSC,HNSC,PAAD,STAD,NOT CLASSIFIED,CESC,NOT CLASSIFIED,LIHC,LIHC,PAAD,PAAD,KIRC,NOT CLASSIFIED,OV,THCA,KIRC,SKCM,ALL,LUAD,LUAD,SKCM,LAML,THCA,HNSC,HNSC,BLCA,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,COAD/READ,COAD/READ,NOT CLASSIFIED,PAAD,BRCA,STAD,NOT CLASSIFIED,MESO,MESO,MESO,MESO,MESO,MESO,BRCA,BRCA,COAD/READ,LUAD,BRCA,ALL,MM,SCLC,SCLC,ALL,MM,DLBC,CESC,PAAD,PAAD,SKCM,SKCM,LIHC,LIHC,HNSC,BRCA,SKCM,THCA,KIRC,KIRC,HNSC,PAAD,PAAD,NOT CLASSIFIED,ESCA,LUSC,LUSC,LUAD,LUAD,SCLC,LUAD,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,NOT CLASSIFIED,STAD,STAD,ESCA,HNSC,OV,PAAD,PAAD,PAAD,HNSC,HNSC,PAAD,NOT CLASSIFIED,LUAD,LUSC,NOT CLASSIFIED,HNSC,HNSC,HNSC,NOT CLASSIFIED,SCLC,ESCA,STAD,OV,PRAD,SKCM,SKCM,SKCM,NOT CLASSIFIED,DLBC,BRCA,SCLC,BRCA,NOT CLASSIFIED,SCLC,NOT CLASSIFIED,NOT CLASSIFIED,STAD,LAML,DLBC,MM,DLBC,DLBC,LCML,DLBC,NOT CLASSIFIED,MM,LCML,NOT CLASSIFIED,NOT CLASSIFIED,BRCA,LAML,LAML,LAML,MM,ALL,SCLC,SCLC,SCLC,NOT CLASSIFIED,DLBC,LAML,DLBC,LAML,NOT CLASSIFIED,LAML,PRAD,NOT CLASSIFIED,DLBC,NOT CLASSIFIED,DLBC,DLBC,DLBC,DLBC,DLBC,DLBC,DLBC,NOT CLASSIFIED,NOT CLASSIFIED,DLBC,DLBC,NOT CLASSIFIED,DLBC,OV,OV,OV,OV,OV,OV,OV,OV,OV,OV,OV,OV,OV,ESCA,ESCA,ESCA,STAD,ESCA,ESCA,ESCA,ESCA,LUAD,LUAD,ESCA,KIRC,KIRC,KIRC,KIRC,KIRC,KIRC,KIRC,KIRC,MM,MM,DLBC,COAD/READ,COAD/READ,COAD/READ,COAD/READ,COAD/READ,COAD/READ,COAD/READ
ABCB1_mut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
